Campaign_ID,Channel,Campaign_Type,Region,Age_Group,Impressions,Clicks,Spend,Conversions,Revenue,ROI,CTR,CPC,Conversion_Rate,Cost_Per_Conversion
CAMP-0216,Email,Retargeting,West,35-44,20163,1188,4901.97,250,47448.6,867.95,5.89,4.13,21.04,19.61
CAMP-0217,Influencer,Lead Generation,North,35-44,10297,209,14382.39,17,7199.65,-49.94,2.03,68.82,8.13,846.02
CAMP-0218,SMS,Retargeting,North,55+,42186,4799,32662.92,736,217527.79,565.98,11.38,6.81,15.34,44.38
CAMP-0219,Social Media,Seasonal Sale,East,55+,11169,977,24258.31,85,19027.56,-21.56,8.75,24.83,8.7,285.39
CAMP-0220,SMS,Brand Awareness,South,25-34,19879,395,2625.88,59,14793.24,463.36,1.99,6.65,14.94,44.51
CAMP-0221,Email,Retargeting,West,55+,4794,131,577.92,27,4007.26,593.39,2.73,4.41,20.61,21.4
CAMP-0222,Email,Retargeting,South,35-44,46840,5503,24613.38,372,44312.95,80.04,11.75,4.47,6.76,66.17
CAMP-0223,SMS,Brand Awareness,North,18-24,7855,866,7031.14,113,15914.95,126.35,11.02,8.12,13.05,62.22
CAMP-0224,Google Ads,Seasonal Sale,East,55+,31080,3265,173303.51,466,42294.43,-75.6,10.51,53.08,14.27,371.9
CAMP-0225,Google Ads,Lead Generation,North,35-44,31235,1612,80396.76,290,38356.54,-52.29,5.16,49.87,17.99,277.23
CAMP-0226,SMS,Brand Awareness,East,25-34,32832,2758,21488.22,219,82093.91,282.04,8.4,7.79,7.94,98.12
CAMP-0227,SMS,Seasonal Sale,North,45-54,38269,834,6665.72,98,27311.31,309.73,2.18,7.99,11.75,68.02
CAMP-0228,Email,Lead Generation,West,35-44,49743,3158,15650.71,397,31788.42,103.11,6.35,4.96,12.57,39.42
CAMP-0229,Influencer,Brand Awareness,East,25-34,36124,563,40284.5,37,16780.98,-58.34,1.56,71.55,6.57,1088.77
CAMP-0230,Influencer,Retargeting,South,35-44,3486,350,22244.74,31,7522.97,-66.18,10.04,63.56,8.86,717.57
CAMP-0231,Google Ads,Seasonal Sale,East,18-24,38640,1864,89333.19,384,185189.43,107.3,4.82,47.93,20.6,232.64
CAMP-0232,Influencer,Retargeting,East,25-34,21541,2139,128635.81,187,48034.55,-62.66,9.93,60.14,8.74,687.89
CAMP-0233,Google Ads,Retargeting,North,35-44,17808,567,26809.38,125,56576.19,111.03,3.18,47.28,22.05,214.48
CAMP-0234,Email,Retargeting,East,25-34,5980,688,2964.49,62,11228.09,278.75,11.51,4.31,9.01,47.81
CAMP-0235,Social Media,Seasonal Sale,East,18-24,36518,3209,69801.54,247,65524.71,-6.13,8.79,21.75,7.7,282.6
CAMP-0236,Influencer,Lead Generation,West,18-24,14034,616,31449.65,44,16159.56,-48.62,4.39,51.05,7.14,714.76
CAMP-0237,Email,Lead Generation,North,35-44,12392,1143,6435.26,148,62049.1,864.21,9.22,5.63,12.95,43.48
CAMP-0238,Influencer,Lead Generation,South,25-34,18360,539,31919.38,32,5069.35,-84.12,2.94,59.22,5.94,997.48
CAMP-0239,SMS,Lead Generation,West,18-24,9585,233,1818.39,20,4323.46,137.76,2.43,7.8,8.58,90.92
CAMP-0240,Social Media,Retargeting,West,25-34,38276,4298,107361.11,459,202064.43,88.21,11.23,24.98,10.68,233.9
CAMP-0241,Influencer,Retargeting,West,35-44,22332,2455,164472.32,161,13929.61,-91.53,10.99,66.99,6.56,1021.57
CAMP-0242,SMS,Retargeting,East,18-24,24121,1552,11955.92,192,57306.86,379.32,6.43,7.7,12.37,62.27
CAMP-0243,Influencer,Brand Awareness,West,55+,35789,3479,237782.99,374,165611.09,-30.35,9.72,68.35,10.75,635.78
CAMP-0244,Social Media,Brand Awareness,North,55+,16060,870,19732.34,89,42049.15,113.1,5.42,22.68,10.23,221.71
CAMP-0245,Google Ads,Retargeting,South,55+,30922,886,35008.82,76,36265.84,3.59,2.87,39.51,8.58,460.64
CAMP-0246,Social Media,Brand Awareness,West,35-44,41788,3549,77791.28,206,85571.31,10.0,8.49,21.92,5.8,377.63
CAMP-0247,SMS,Seasonal Sale,South,55+,38585,3262,29378.6,262,45664.85,55.44,8.45,9.01,8.03,112.13
CAMP-0248,Email,Retargeting,South,55+,13597,779,3789.86,77,30731.16,710.88,5.73,4.87,9.88,49.22
CAMP-0249,Influencer,Lead Generation,West,35-44,37025,1238,59551.93,92,45754.82,-23.17,3.34,48.1,7.43,647.3
CAMP-0250,SMS,Brand Awareness,West,18-24,10795,724,6510.07,44,10025.65,54.0,6.71,8.99,6.08,147.96
CAMP-0251,Social Media,Lead Generation,East,18-24,12210,384,9254.59,34,14885.76,60.85,3.14,24.1,8.85,272.19
CAMP-0252,Email,Retargeting,East,45-54,34674,4095,19753.0,503,234149.59,1085.39,11.81,4.82,12.28,39.27
CAMP-0253,Email,Retargeting,North,55+,4805,99,488.71,9,1200.77,145.7,2.06,4.94,9.09,54.3
CAMP-0254,Influencer,Brand Awareness,South,35-44,14826,1446,100905.52,133,22571.95,-77.63,9.75,69.78,9.2,758.69
CAMP-0255,Influencer,Lead Generation,South,18-24,14144,1609,92757.48,76,32756.15,-64.69,11.38,57.65,4.72,1220.49
CAMP-0256,Email,Lead Generation,East,25-34,2238,62,327.27,11,1594.13,387.1,2.77,5.28,17.74,29.75
CAMP-0257,Social Media,Seasonal Sale,West,45-54,12784,447,9165.9,58,10881.39,18.72,3.5,20.51,12.98,158.03
CAMP-0258,SMS,Retargeting,North,45-54,38118,919,8177.89,158,59687.46,629.86,2.41,8.9,17.19,51.76
CAMP-0259,SMS,Seasonal Sale,South,18-24,9771,898,8105.01,132,23698.58,192.39,9.19,9.03,14.7,61.4
CAMP-0260,Google Ads,Seasonal Sale,South,18-24,12297,803,36211.27,151,34397.17,-5.01,6.53,45.09,18.8,239.81
CAMP-0261,SMS,Seasonal Sale,West,55+,40009,3641,31201.59,429,57845.76,85.39,9.1,8.57,11.78,72.73
CAMP-0262,Social Media,Lead Generation,South,45-54,48051,4295,125322.09,611,127346.33,1.62,8.94,29.18,14.23,205.11
CAMP-0263,Social Media,Lead Generation,East,45-54,4016,81,1954.02,10,1778.23,-9.0,2.02,24.12,12.35,195.4
CAMP-0264,SMS,Retargeting,East,45-54,19447,2290,21130.51,204,80903.73,282.88,11.78,9.23,8.91,103.58
CAMP-0265,Social Media,Retargeting,South,25-34,15059,1524,30852.63,95,35184.49,14.04,10.12,20.24,6.23,324.76
CAMP-0266,Influencer,Retargeting,South,35-44,25032,402,22656.17,39,2492.17,-89.0,1.61,56.36,9.7,580.93
CAMP-0267,SMS,Seasonal Sale,South,35-44,43431,4015,29005.81,653,251882.08,768.38,9.24,7.22,16.26,44.42
CAMP-0268,Email,Lead Generation,East,55+,11188,765,4252.28,75,11537.69,171.33,6.84,5.56,9.8,56.7
CAMP-0269,Google Ads,Seasonal Sale,North,25-34,22406,1790,88411.51,319,84299.01,-4.65,7.99,49.39,17.82,277.15
CAMP-0270,Influencer,Brand Awareness,North,35-44,32201,1035,71739.38,96,19901.15,-72.26,3.21,69.31,9.28,747.29
CAMP-0271,SMS,Brand Awareness,East,18-24,13524,1478,13819.41,137,17277.15,25.02,10.93,9.35,9.27,100.87
CAMP-0272,SMS,Brand Awareness,South,25-34,4955,115,762.24,20,1666.52,118.63,2.32,6.63,17.39,38.11
CAMP-0273,Email,Seasonal Sale,North,35-44,36877,3510,18469.0,693,233756.1,1165.67,9.52,5.26,19.74,26.65
CAMP-0274,Google Ads,Seasonal Sale,South,35-44,35781,2118,89441.34,351,44356.34,-50.41,5.92,42.23,16.57,254.82
CAMP-0275,Google Ads,Lead Generation,West,45-54,21385,793,40567.71,110,39459.47,-2.73,3.71,51.16,13.87,368.8
CAMP-0276,Email,Seasonal Sale,East,55+,4348,409,1887.67,38,13680.21,624.71,9.41,4.62,9.29,49.68
CAMP-0277,Influencer,Lead Generation,West,18-24,49251,2062,126406.49,161,52268.8,-58.65,4.19,61.3,7.81,785.13
CAMP-0278,Google Ads,Seasonal Sale,North,45-54,7186,620,29850.21,129,10749.8,-63.99,8.63,48.15,20.81,231.4
CAMP-0279,Influencer,Lead Generation,South,18-24,22041,759,44464.58,66,10340.74,-76.74,3.44,58.58,8.7,673.71
CAMP-0280,Email,Lead Generation,West,55+,27517,2576,12738.61,355,116750.17,816.51,9.36,4.95,13.78,35.88
CAMP-0281,Influencer,Lead Generation,West,55+,47969,3656,240200.53,130,36667.72,-84.73,7.62,65.7,3.56,1847.7
CAMP-0282,Google Ads,Retargeting,East,35-44,46123,2965,131734.27,778,196646.82,49.28,6.43,44.43,26.24,169.32
CAMP-0283,Google Ads,Brand Awareness,North,35-44,7630,76,3326.9,17,6461.02,94.21,1.0,43.77,22.37,195.7
CAMP-0284,Email,Brand Awareness,East,18-24,28714,774,4552.79,66,21911.18,381.27,2.7,5.88,8.53,68.98
CAMP-0285,Email,Retargeting,South,25-34,15749,1473,6571.58,296,81427.93,1139.09,9.35,4.46,20.1,22.2
CAMP-0286,Google Ads,Lead Generation,North,45-54,42561,5101,204198.24,667,108517.49,-46.86,11.99,40.03,13.08,306.14
CAMP-0287,Influencer,Retargeting,South,45-54,37664,4479,271618.02,357,156004.27,-42.56,11.89,60.64,7.97,760.83
CAMP-0288,SMS,Lead Generation,South,55+,10591,721,6535.92,64,15866.5,142.76,6.81,9.07,8.88,102.12
CAMP-0289,Social Media,Seasonal Sale,West,35-44,46006,4500,102110.87,330,97771.5,-4.25,9.78,22.69,7.33,309.43
CAMP-0290,SMS,Brand Awareness,North,35-44,25522,2042,15736.95,300,60029.24,281.45,8.0,7.71,14.69,52.46
CAMP-0291,Google Ads,Brand Awareness,South,35-44,21789,2256,99338.63,269,105368.24,6.07,10.35,44.03,11.92,369.29
CAMP-0292,Email,Brand Awareness,West,35-44,1547,69,300.43,11,1911.4,536.22,4.46,4.35,15.94,27.31
CAMP-0293,Influencer,Brand Awareness,North,18-24,46194,572,39108.22,24,7750.92,-80.18,1.24,68.37,4.2,1629.51
CAMP-0294,Google Ads,Retargeting,North,35-44,22421,401,20230.27,99,5440.79,-73.11,1.79,50.45,24.69,204.35
CAMP-0295,Google Ads,Seasonal Sale,North,35-44,17188,455,18040.85,92,34607.42,91.83,2.65,39.65,20.22,196.1
CAMP-0296,Google Ads,Seasonal Sale,North,35-44,47680,3068,127030.22,515,109102.66,-14.11,6.43,41.4,16.79,246.66
CAMP-0297,Influencer,Brand Awareness,North,45-54,5688,501,24269.7,32,10873.74,-55.2,8.81,48.44,6.39,758.43
CAMP-0298,Social Media,Retargeting,North,45-54,38944,3861,104698.96,195,51433.22,-50.88,9.91,27.12,5.05,536.92
CAMP-0299,Influencer,Brand Awareness,East,45-54,9323,322,18971.42,20,2590.0,-86.35,3.45,58.92,6.21,948.57
CAMP-0300,Email,Retargeting,North,55+,46321,1489,8724.27,93,43359.68,397.0,3.21,5.86,6.25,93.81
CAMP-0301,Google Ads,Brand Awareness,West,35-44,43716,5102,266866.44,1348,401226.24,50.35,11.67,52.31,26.42,197.97
CAMP-0302,Influencer,Brand Awareness,West,18-24,42564,3299,207024.4,206,63309.75,-69.42,7.75,62.75,6.24,1004.97
CAMP-0303,Google Ads,Retargeting,North,45-54,35588,3212,164716.54,536,149771.08,-9.07,9.03,51.28,16.69,307.31
CAMP-0304,Email,Seasonal Sale,East,25-34,48488,4395,20823.41,383,56994.54,173.7,9.06,4.74,8.71,54.37
CAMP-0305,Influencer,Seasonal Sale,South,35-44,26292,885,60737.08,52,22530.3,-62.91,3.37,68.63,5.88,1168.02
CAMP-0306,Influencer,Retargeting,West,25-34,31123,3483,188741.88,292,144332.88,-23.53,11.19,54.19,8.38,646.38
CAMP-0307,Google Ads,Brand Awareness,North,35-44,33710,1596,59502.71,267,103915.55,74.64,4.73,37.28,16.73,222.86
CAMP-0308,Influencer,Retargeting,North,25-34,17084,1760,106447.84,168,42147.05,-60.41,10.3,60.48,9.55,633.62
CAMP-0309,SMS,Retargeting,West,25-34,9889,1061,8451.55,72,8547.16,1.13,10.73,7.97,6.79,117.38
CAMP-0310,Email,Brand Awareness,North,45-54,2844,118,504.99,15,3546.89,602.37,4.15,4.28,12.71,33.67
CAMP-0311,Google Ads,Lead Generation,East,25-34,21573,1673,71482.14,337,33329.35,-53.37,7.76,42.73,20.14,212.11
CAMP-0312,Email,Lead Generation,South,18-24,12790,770,3686.87,143,31463.85,753.4,6.02,4.79,18.57,25.78
CAMP-0313,SMS,Retargeting,East,25-34,7673,511,3834.27,53,5041.85,31.49,6.66,7.5,10.37,72.34
CAMP-0314,Email,Seasonal Sale,North,45-54,47149,586,3048.81,104,18529.0,507.75,1.24,5.2,17.75,29.32
CAMP-0315,Influencer,Retargeting,West,35-44,13841,1631,79945.6,105,31095.17,-61.1,11.78,49.02,6.44,761.39
CAMP-0316,SMS,Seasonal Sale,East,18-24,17146,2034,13123.24,221,94852.0,622.78,11.86,6.45,10.87,59.38
CAMP-0317,Google Ads,Lead Generation,South,18-24,7989,497,19063.22,42,19968.37,4.75,6.22,38.36,8.45,453.89
CAMP-0318,SMS,Seasonal Sale,West,25-34,25451,508,3939.89,86,23743.38,502.64,2.0,7.76,16.93,45.81
CAMP-0319,SMS,Lead Generation,West,55+,44104,4611,36124.45,398,173115.64,379.22,10.45,7.83,8.63,90.76
CAMP-0320,Google Ads,Lead Generation,West,25-34,26770,3143,123698.11,420,26872.15,-78.28,11.74,39.36,13.36,294.52
CAMP-0321,Google Ads,Brand Awareness,South,35-44,35861,1073,51661.33,135,28329.48,-45.16,2.99,48.15,12.58,382.68
CAMP-0322,Influencer,Lead Generation,South,25-34,35979,2206,125016.61,212,65164.09,-47.88,6.13,56.67,9.61,589.7
CAMP-0323,Social Media,Seasonal Sale,North,18-24,21745,310,7733.26,16,2516.96,-67.45,1.43,24.95,5.16,483.33
CAMP-0324,Social Media,Lead Generation,East,45-54,6972,688,20205.92,70,25876.31,28.06,9.87,29.37,10.17,288.66
CAMP-0325,Google Ads,Seasonal Sale,East,45-54,24687,689,31242.71,123,15997.46,-48.8,2.79,45.35,17.85,254.01
CAMP-0326,Social Media,Lead Generation,South,45-54,1199,134,3034.53,5,493.56,-83.74,11.18,22.65,3.73,606.91
CAMP-0327,Influencer,Lead Generation,North,25-34,41313,1682,88524.67,100,22332.55,-74.77,4.07,52.63,5.95,885.25
CAMP-0328,Email,Lead Generation,West,25-34,16732,332,1344.74,30,11714.77,771.16,1.98,4.05,9.04,44.82
CAMP-0329,Google Ads,Seasonal Sale,West,25-34,2723,186,7749.22,42,16553.9,113.62,6.83,41.66,22.58,184.51
CAMP-0330,Google Ads,Lead Generation,East,55+,44827,2590,128991.74,601,113472.9,-12.03,5.78,49.8,23.2,214.63
CAMP-0331,Email,Brand Awareness,West,35-44,46389,4393,18391.48,713,46616.46,153.47,9.47,4.19,16.23,25.79
CAMP-0332,SMS,Retargeting,East,45-54,40061,3055,27928.67,191,33265.65,19.11,7.63,9.14,6.25,146.22
CAMP-0333,SMS,Brand Awareness,South,55+,33131,1297,9930.81,136,60620.0,510.42,3.91,7.66,10.49,73.02
CAMP-0334,Google Ads,Seasonal Sale,North,25-34,44740,2543,106553.07,439,104475.19,-1.95,5.68,41.9,17.26,242.72
CAMP-0335,Google Ads,Retargeting,South,25-34,2960,144,6650.53,22,9256.73,39.19,4.86,46.18,15.28,302.3
CAMP-0336,Email,Retargeting,West,25-34,48503,4671,27723.25,890,101412.62,265.8,9.63,5.94,19.05,31.15
CAMP-0337,SMS,Brand Awareness,East,35-44,11723,870,6301.44,148,15071.39,139.17,7.42,7.24,17.01,42.58
CAMP-0338,SMS,Lead Generation,South,35-44,36191,596,4954.63,93,7476.02,50.89,1.65,8.31,15.6,53.28
CAMP-0339,Google Ads,Lead Generation,East,25-34,3955,91,4810.89,22,2941.15,-38.86,2.3,52.87,24.18,218.68
CAMP-0340,Influencer,Brand Awareness,South,25-34,29587,2632,154297.7,111,10752.37,-93.03,8.9,58.62,4.22,1390.07
CAMP-0341,Influencer,Lead Generation,West,45-54,16066,1013,71048.36,37,3748.42,-94.72,6.31,70.14,3.65,1920.23
CAMP-0342,SMS,Retargeting,East,55+,47400,2114,15932.22,230,54572.73,242.53,4.46,7.54,10.88,69.27
CAMP-0343,Social Media,Seasonal Sale,North,35-44,43018,3767,77869.75,165,56789.49,-27.07,8.76,20.67,4.38,471.94
CAMP-0344,Social Media,Retargeting,North,25-34,32945,670,19764.0,78,34656.98,75.35,2.03,29.5,11.64,253.38
CAMP-0345,Google Ads,Lead Generation,North,55+,46965,3244,134118.74,281,60694.67,-54.75,6.91,41.34,8.66,477.29
CAMP-0346,Social Media,Retargeting,East,25-34,19603,620,14023.76,65,14603.5,4.13,3.16,22.62,10.48,215.75
CAMP-0347,Social Media,Retargeting,South,45-54,49877,2577,66680.38,362,103130.56,54.66,5.17,25.88,14.05,184.2
CAMP-0348,Influencer,Seasonal Sale,North,55+,39786,654,38127.14,55,27171.12,-28.74,1.64,58.3,8.41,693.22
CAMP-0349,SMS,Brand Awareness,South,18-24,22464,537,4728.21,62,23283.74,392.44,2.39,8.8,11.55,76.26
CAMP-0350,Google Ads,Retargeting,West,55+,31632,2447,121327.8,585,258028.41,112.67,7.74,49.58,23.91,207.4
CAMP-0351,Email,Retargeting,North,18-24,35594,3724,19725.27,467,62880.1,218.78,10.46,5.3,12.54,42.24
CAMP-0352,Social Media,Retargeting,West,25-34,35336,1147,24013.4,151,59478.09,147.69,3.25,20.94,13.16,159.03
CAMP-0353,Email,Lead Generation,North,25-34,10107,888,4636.29,95,17537.6,278.27,8.79,5.22,10.7,48.8
CAMP-0354,SMS,Brand Awareness,East,18-24,36559,539,3457.98,78,37205.47,975.93,1.47,6.42,14.47,44.33
CAMP-0355,Social Media,Lead Generation,West,25-34,12385,718,16690.94,67,16349.2,-2.05,5.8,23.25,9.33,249.12
CAMP-0356,Google Ads,Retargeting,South,35-44,44956,5370,200931.33,805,105710.82,-47.39,11.95,37.42,14.99,249.6
CAMP-0357,Influencer,Lead Generation,South,18-24,14097,1325,79381.98,134,8665.32,-89.08,9.4,59.91,10.11,592.4
CAMP-0358,Email,Brand Awareness,West,18-24,20462,385,1742.3,82,11810.61,577.87,1.88,4.53,21.3,21.25
CAMP-0359,Email,Retargeting,North,18-24,21315,1574,7481.96,297,33371.29,346.02,7.38,4.75,18.87,25.19
CAMP-0360,Google Ads,Brand Awareness,East,35-44,34643,3655,155894.12,678,54994.6,-64.72,10.55,42.65,18.55,229.93
CAMP-0361,Social Media,Brand Awareness,North,45-54,26089,1087,29607.11,50,21907.33,-26.01,4.17,27.24,4.6,592.14
CAMP-0362,Influencer,Brand Awareness,East,55+,4901,61,3010.41,5,778.08,-74.15,1.24,49.35,8.2,602.08
CAMP-0363,Google Ads,Lead Generation,East,45-54,14609,931,41906.07,249,29272.02,-30.15,6.37,45.01,26.75,168.3
CAMP-0364,Influencer,Seasonal Sale,East,55+,3061,191,13230.96,15,5375.2,-59.37,6.24,69.27,7.85,882.06
CAMP-0365,Influencer,Lead Generation,South,55+,3535,238,14064.25,13,2437.06,-82.67,6.73,59.09,5.46,1081.87
CAMP-0366,Social Media,Seasonal Sale,West,25-34,18569,491,14102.03,50,5510.19,-60.93,2.64,28.72,10.18,282.04
CAMP-0367,Google Ads,Seasonal Sale,East,55+,5342,141,5097.87,11,4323.14,-15.2,2.64,36.16,7.8,463.44
CAMP-0368,Social Media,Lead Generation,North,55+,2721,251,5200.37,25,9755.85,87.6,9.22,20.72,9.96,208.01
CAMP-0369,SMS,Brand Awareness,South,35-44,15653,1863,13459.01,139,14701.56,9.23,11.9,7.22,7.46,96.83
CAMP-0370,Google Ads,Retargeting,South,35-44,30024,2916,144503.31,726,299545.94,107.29,9.71,49.56,24.9,199.04
CAMP-0371,Social Media,Retargeting,North,35-44,37437,1732,50781.28,192,93804.61,84.72,4.63,29.32,11.09,264.49
CAMP-0372,Social Media,Brand Awareness,South,35-44,27103,1723,36308.56,111,31905.44,-12.13,6.36,21.07,6.44,327.1
CAMP-0373,Email,Seasonal Sale,North,55+,38268,1216,6725.26,91,41416.39,515.83,3.18,5.53,7.48,73.9
CAMP-0374,Email,Brand Awareness,West,45-54,3896,335,1763.19,59,24938.65,1314.41,8.6,5.26,17.61,29.88
CAMP-0375,SMS,Retargeting,East,55+,23684,2053,19426.12,259,90379.39,365.25,8.67,9.46,12.62,75.0
CAMP-0376,Social Media,Retargeting,South,35-44,37927,4541,98103.28,277,81090.92,-17.34,11.97,21.6,6.1,354.16
CAMP-0377,Social Media,Retargeting,South,55+,3375,183,4726.85,18,6224.41,31.68,5.42,25.83,9.84,262.6
CAMP-0378,Email,Brand Awareness,East,45-54,32256,3126,16410.0,449,144931.99,783.19,9.69,5.25,14.36,36.55
CAMP-0379,Influencer,Lead Generation,North,18-24,42290,4483,288244.52,166,52542.94,-81.77,10.6,64.3,3.7,1736.41
CAMP-0380,Google Ads,Brand Awareness,North,25-34,36833,3720,173657.83,707,143072.87,-17.61,10.1,46.68,19.01,245.63
CAMP-0381,Influencer,Seasonal Sale,South,55+,2273,152,8639.31,5,571.77,-93.38,6.69,56.84,3.29,1727.86
CAMP-0382,Influencer,Brand Awareness,South,18-24,18982,2161,129927.28,104,10149.11,-92.19,11.38,60.12,4.81,1249.3
CAMP-0383,Social Media,Seasonal Sale,South,18-24,42843,4069,114042.07,209,67694.45,-40.64,9.5,28.03,5.14,545.66
CAMP-0384,Social Media,Brand Awareness,West,55+,20405,318,9296.1,41,11683.51,25.68,1.56,29.23,12.89,226.73
CAMP-0385,SMS,Brand Awareness,East,45-54,37462,2429,15808.93,337,160992.76,918.37,6.48,6.51,13.87,46.91
CAMP-0386,SMS,Retargeting,South,55+,14221,225,2117.05,38,11004.3,419.79,1.58,9.41,16.89,55.71
CAMP-0387,Influencer,Lead Generation,East,55+,34288,793,39905.4,38,16206.56,-59.39,2.31,50.32,4.79,1050.14
CAMP-0388,Google Ads,Brand Awareness,South,18-24,11721,824,32854.83,88,26707.32,-18.71,7.03,39.87,10.68,373.35
CAMP-0389,SMS,Retargeting,South,45-54,14944,397,3701.23,66,27923.9,654.45,2.66,9.32,16.62,56.08
CAMP-0390,SMS,Retargeting,South,45-54,31197,2505,21567.01,130,62548.42,190.02,8.03,8.61,5.19,165.9
CAMP-0391,SMS,Seasonal Sale,East,18-24,7592,86,690.68,9,2219.81,221.39,1.13,8.03,10.47,76.74
CAMP-0392,Social Media,Seasonal Sale,East,25-34,12866,875,20783.68,123,15721.53,-24.36,6.8,23.75,14.06,168.97
CAMP-0393,Influencer,Lead Generation,South,55+,27731,1800,114209.59,187,33351.35,-70.8,6.49,63.45,10.39,610.75
CAMP-0394,Google Ads,Seasonal Sale,East,45-54,1739,67,2971.25,5,1639.76,-44.81,3.85,44.35,7.46,594.25
CAMP-0395,Influencer,Retargeting,East,18-24,12782,976,56125.43,32,3039.31,-94.58,7.64,57.51,3.28,1753.92
CAMP-0396,Google Ads,Brand Awareness,South,45-54,49779,584,26885.32,129,54444.28,102.51,1.17,46.04,22.09,208.41
CAMP-0397,Social Media,Retargeting,East,18-24,13449,1405,29818.17,191,11786.2,-60.47,10.45,21.22,13.59,156.12
CAMP-0398,Influencer,Lead Generation,South,55+,4298,134,6444.52,8,1603.69,-75.12,3.12,48.09,5.97,805.57
CAMP-0399,Social Media,Lead Generation,North,25-34,4814,454,13134.81,48,5087.26,-61.27,9.43,28.93,10.57,273.64
CAMP-0400,Google Ads,Retargeting,West,25-34,45709,903,39121.03,233,111327.21,184.57,1.98,43.32,25.8,167.9
CAMP-0401,Google Ads,Retargeting,South,55+,26357,2448,89519.6,252,82250.14,-8.12,9.29,36.57,10.29,355.24
CAMP-0402,Google Ads,Seasonal Sale,West,25-34,33469,1627,84538.3,381,103547.04,22.49,4.86,51.96,23.42,221.89
CAMP-0403,Social Media,Lead Generation,West,18-24,7192,228,6522.82,28,12767.09,95.73,3.17,28.61,12.28,232.96
CAMP-0404,Google Ads,Seasonal Sale,South,55+,48000,1685,88922.23,314,75398.56,-15.21,3.51,52.77,18.64,283.19
CAMP-0405,Influencer,Lead Generation,East,25-34,3457,126,6297.26,8,3595.94,-42.9,3.64,49.98,6.35,787.16
CAMP-0406,Social Media,Retargeting,East,45-54,26288,1502,37015.31,92,38669.55,4.47,5.71,24.64,6.13,402.34
CAMP-0407,Social Media,Retargeting,North,45-54,41394,3031,86775.3,212,94706.28,9.14,7.32,28.63,6.99,409.32
CAMP-0408,Influencer,Seasonal Sale,South,45-54,40038,3327,227274.8,357,85349.16,-62.45,8.31,68.31,10.73,636.62
CAMP-0409,Social Media,Retargeting,West,25-34,3827,428,10248.14,42,4102.31,-59.97,11.18,23.94,9.81,244.0
CAMP-0410,Google Ads,Lead Generation,West,25-34,42114,2258,97305.15,277,75129.23,-22.79,5.36,43.09,12.27,351.28
CAMP-0411,Google Ads,Seasonal Sale,West,25-34,30565,2238,99391.64,435,109304.22,9.97,7.32,44.41,19.44,228.49
CAMP-0412,Email,Lead Generation,South,25-34,23858,1765,8828.47,235,98236.08,1012.72,7.4,5.0,13.31,37.57
CAMP-0413,Influencer,Lead Generation,East,18-24,32885,3416,176551.9,257,45846.33,-74.03,10.39,51.68,7.52,686.97
CAMP-0414,SMS,Lead Generation,West,45-54,12319,1033,7454.54,120,57226.91,667.68,8.39,7.22,11.62,62.12
CAMP-0415,Social Media,Seasonal Sale,South,18-24,12139,1289,27918.01,161,10379.22,-62.82,10.62,21.66,12.49,173.4
CAMP-0416,SMS,Seasonal Sale,West,25-34,43601,3739,30303.73,375,155825.11,414.21,8.58,8.1,10.03,80.81
CAMP-0417,Google Ads,Lead Generation,East,18-24,25632,904,35316.61,181,88218.94,149.79,3.53,39.07,20.02,195.12
CAMP-0418,SMS,Lead Generation,North,25-34,12858,325,2974.99,25,6910.76,132.3,2.53,9.15,7.69,119.0
CAMP-0419,Google Ads,Brand Awareness,West,35-44,21426,1421,71808.89,205,48103.99,-33.01,6.63,50.53,14.43,350.29
CAMP-0420,Google Ads,Lead Generation,South,18-24,37170,3580,137686.58,543,245331.34,78.18,9.63,38.46,15.17,253.57
CAMP-0421,SMS,Lead Generation,North,45-54,10291,481,3497.13,52,6847.64,95.81,4.67,7.27,10.81,67.25
CAMP-0422,Google Ads,Lead Generation,North,35-44,35481,2600,97957.52,623,80205.04,-18.12,7.33,37.68,23.96,157.24
CAMP-0423,Social Media,Lead Generation,West,55+,23954,783,17121.56,71,4602.31,-73.12,3.27,21.87,9.07,241.15
CAMP-0424,Influencer,Brand Awareness,West,25-34,36338,3710,185273.13,366,149651.08,-19.23,10.21,49.94,9.87,506.21
CAMP-0425,SMS,Retargeting,West,35-44,26520,1797,15254.59,304,28951.41,89.79,6.78,8.49,16.92,50.18
CAMP-0426,Influencer,Brand Awareness,East,25-34,4086,465,27289.16,38,16283.15,-40.33,11.38,58.69,8.17,718.14
CAMP-0427,SMS,Brand Awareness,West,25-34,15326,1649,10811.51,244,51148.84,373.1,10.76,6.56,14.8,44.31
CAMP-0428,Influencer,Retargeting,East,45-54,25945,1000,51245.31,39,3763.32,-92.66,3.85,51.25,3.9,1313.98
CAMP-0429,Email,Lead Generation,East,25-34,16055,1382,7426.45,199,93675.47,1161.38,8.61,5.37,14.4,37.32
CAMP-0430,Social Media,Retargeting,South,25-34,41875,764,20932.31,109,46975.64,124.42,1.82,27.4,14.27,192.04
CAMP-0431,Email,Retargeting,East,35-44,42587,3608,19991.17,778,211311.27,957.02,8.47,5.54,21.56,25.7
CAMP-0432,Social Media,Lead Generation,East,18-24,29994,692,15533.77,51,19327.14,24.42,2.31,22.45,7.37,304.58
